발표시간,지역,시군구,재난종류,특보등급,해당지역,연결대피유형,기준위도,기준경도,1순위_대피소명,1순위_주소,1순위_대피소유형,1순위_거리_km,2순위_대피소명,2순위_주소,2순위_대피소유형,2순위_거리_km,3순위_대피소명,3순위_주소,3순위_대피소유형,3순위_거리_km,평균거리_km
2023-08-13 10:00,경남,사천,폭염,주의보,(1) 폭염주의보 발표 : 경상남도(의령. 산청. 사천. 고성),쉼터,35.02462093206897,128.0565141768473,용정경로당,경상남도 사천시 용현면 용정길 134-5,"한파쉼터,무더위쉼터",0.191,온정경로당,"경상남도 사천시 용현면 온정2길 65 , 온정새마을회관","한파쉼터,무더위쉼터",0.317,장송경로당,"경상남도 사천시 용현면 장송2길 35 , 장송마을회관","한파쉼터,무더위쉼터",1.045,0.518
2023-08-13 10:00,경남,고성,폭염,주의보,(1) 폭염주의보 발표 : 경상남도(의령. 산청. 사천. 고성),쉼터,35.01379778891827,128.2970755487981,대흥경로당,경상남도 고성군 대가면대가로 447,"한파쉼터,무더위쉼터",0.165,유흥경로당,경상남도 고성군 대가면유흥2길 50-11,"한파쉼터,무더위쉼터",0.166,유흥마을,경상남도 고성군 대가면 유흥2길 50-11,무더위쉼터,0.167,0.166
2023-08-13 10:00,경북,청도,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(청도. 고령. 성주. 문경),쉼터,35.665808004897954,128.74259687317786,진라1리,경상북도 청도군 화양읍 진라길 11 ,"한파쉼터,무더위쉼터",0.504,용산(청도),경상북도 청도군 청도읍 덕암길 6 ,"한파쉼터,무더위쉼터",0.539,안송읍,경상북도 청도군 청도읍 안송읍길 112 ,"한파쉼터,무더위쉼터",0.626,0.557
2023-08-13 10:00,경북,고령,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(청도. 고령. 성주. 문경),쉼터,35.73806503095833,128.30810500541668,사부2리경로당,경상북도 고령군 성산면도룡길 51 ,"한파쉼터,무더위쉼터",0.454,사부1리경로당,경상북도 고령군 성산면 사부길 47 ,"한파쉼터,무더위쉼터",1.047,양전2리경로당,경상북도 고령군 개진면 내동길 34-15 ,"한파쉼터,무더위쉼터",1.114,0.872
2023-08-13 10:00,경북,성주,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(청도. 고령. 성주. 문경),쉼터,35.91132265034843,128.26132423867597,대흥1리마을회관,"경상북도 성주군 성주읍 대흥1길 16 , 대흥1리회관","한파쉼터,무더위쉼터",0.579,대흥2리마을회관,"경상북도 성주군 성주읍 대흥길 51 , 대흥2리마을회관","한파쉼터,무더위쉼터",0.811,대황1리마을회관,"경상북도 성주군 성주읍 대황1길 100 , 대황1리회관","한파쉼터,무더위쉼터",0.899,0.763
2023-08-13 10:00,경북,문경,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(청도. 고령. 성주. 문경),쉼터,36.64508222958115,128.16987595078533,신우노인회,경상북도 문경시 신기동 신기5길 7  (신기동),"한파쉼터,무더위쉼터",0.587,별암리경로당,경상북도 문경시 호계면대학길 5,"한파쉼터,무더위쉼터",1.29,송연경로당,경상북도 문경시 창동 장평길 402  (창동),"한파쉼터,무더위쉼터",1.971,1.282
2023-08-13 14:30,경북,청송,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(청송. 영양평지),쉼터,36.39551906622951,129.03339484262295,노래2리경로당,경상북도 청송군 안덕면 신노래길 2-29 ,"한파쉼터,무더위쉼터",2.272,금곡2리경로당,경상북도 청송군 청송읍 초막본길 19 ,"한파쉼터,무더위쉼터",3.141,청운리경로당,경상북도 청송군 청송읍 청송로 4638 ,"한파쉼터,무더위쉼터",3.217,2.877
2023-08-15 9:00,경북,문경,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(문경),쉼터,36.64508222958115,128.16987595078533,신우노인회,경상북도 문경시 신기동 신기5길 7  (신기동),"한파쉼터,무더위쉼터",0.587,별암리경로당,경상북도 문경시 호계면대학길 5,"한파쉼터,무더위쉼터",1.29,송연경로당,경상북도 문경시 창동 장평길 402  (창동),"한파쉼터,무더위쉼터",1.971,1.282
2023-08-15 19:20,부산,부산,폭풍해일,주의보,(1) 폭풍해일주의보 발표 : 부산,지진해일대피장소,35.17834760316723,129.06805417690035,광안초등학교 운동장,부산광역시 수영구 광안로35번길 38,지진해일대피장소,5.058,한바다중학교 운동장,부산광역시 수영구 민락동 186,지진해일대피장소,5.125,수영구청,부산광역시 수영구 남천동로 100(남천동),지진해일대피장소,5.486,5.223
2023-08-16 9:00,경북,청송,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(청송. 영양평지. 봉화평지),쉼터,36.39551906622951,129.03339484262295,노래2리경로당,경상북도 청송군 안덕면 신노래길 2-29 ,"한파쉼터,무더위쉼터",2.272,금곡2리경로당,경상북도 청송군 청송읍 초막본길 19 ,"한파쉼터,무더위쉼터",3.141,청운리경로당,경상북도 청송군 청송읍 청송로 4638 ,"한파쉼터,무더위쉼터",3.217,2.877
