대피소명,주소,위도,경도,수용인원,지역,시도,시군구
사슴농장 앞 도로,경상북도 울진군 북면 중흥부길 35-10 ,37.1024108,129.3570828,100,경상북도,경북,울진군
골마야 산 밭,경상북도 울진군 죽변면 봉평길 66-28 ,37.0474386,129.4099331,50,경상북도,경북,울진군
이안빌라  뒷편 ,경상북도 울진군 죽변면 울진북로 1161(이안빌라),37.042504,129.4124973,100,경상북도,경북,울진군
수산리421번지 일대,경상북도 울진군 근남면 수산1길 40-37 ,36.9698432,129.3944058,100,경상북도,경북,울진군
근남 문화 체육센터,경상북도 울진군 근남면 울진북로 151-3 ,36.9637869,129.3945372,300,경상북도,경북,울진군
경원 아파트,경상북도 울진군 근남면 노음5길 7(경원아파트),36.9608744,129.394151,200,경상북도,경북,울진군
장기농협하나로마트 양포점,경상북도 포항시 남구 장기면 동해안로 3284,35.87989397,129.5177257,48,경상북도,경북,포항시
소유가든,경상북도 포항시 북구 청하면 해안로2000번길 33-9 ,36.18082787,129.3921268,72,경상북도,경북,포항시
꿈트리센터,경상북도 포항시 북구 중앙로 325(덕산동),36.04168489,129.3656194,1860,경상북도,경북,포항시
북구청,경상북도 포항시 북구 삼호로 36(동빈1가),36.04336208,129.3684661,7046,경상북도,경북,포항시
바다향기펜션,경상북도 영덕군 병곡면 병곡1길 37,36.6035639,129.4146641,200,경상북도,경북,영덕군
봉산2리 72번지 주택,경상북도 울진군 기성면 구산봉산로 245-7 ,36.7693013,129.4756928,15,경상북도,경북,울진군
월송초등학교 운동장,경상북도 울진군 평해읍 월송길 59,36.73625814,129.4592045,300,경상북도,경북,울진군
달맞이 고개,부산광역시 해운대구 달맞이길 64(중동),35.1606218,129.1718736,4000,부산광역시,부산,해운대구
해운대구청,부산광역시 해운대구 중동2로 11(중동),35.1631,129.1637,3500,부산광역시,부산,해운대구
송정동 행정복지센터,부산광역시 해운대구 송정중앙로21번길 20(송정동),35.1835905,129.2036819,1890,부산광역시,부산,해운대구
중현초등학교 운동장,부산광역시 사하구 다대낙조2길 8(다대동),35.05056901,128.9665854,3515,부산광역시,부산,사하구
광안초등학교 운동장,부산광역시 수영구 광안로35번길 38(광안동),35.156861,129.117096,3400,부산광역시,부산,수영구
어물보건진료소 주차장,울산광역시 북구 아름1길 21(어물동),35.58015,129.4504085,550,울산광역시,울산,북구
수산리 483-1번지 일대,경상북도 울진군 근남면 울진북로 243-15 ,36.971669,129.3979892,80,경상북도,경북,울진군
만포횟집 마당,울산광역시 울주군 온산읍 강양길 143,35.3913022,129.3472472,200,울산광역시,울산,울주군
축산항초등학교 경정,경상북도 영덕군 축산면 경정길 17,36.4859061,129.4337028,200,경상북도,경북,영덕군
해양레포츠센터,경상북도 울진군 매화면 오산항길 59,36.8899183,129.4122505,100,경상북도,경북,울진군
한빛수산 입구 도로,경상북도 포항시 남구 구룡포읍 호미로 395,35.9944508,129.5653081,270,경상북도,경북,포항시
충혼탑 앞,경상북도 포항시 남구 구룡포읍 구룡포길 145-10 ,35.9914408,129.5607296,330,경상북도,경북,포항시
구룡포초등학교 운동장,경상북도 포항시 남구 구룡포읍 구룡포길 61,35.99026454,129.5523906,30,경상북도,경북,포항시
브리즈나인 커피숍 앞 주차장,경상북도 포항시 남구 구룡포읍 용주로 28,35.992502,129.5646778,30,경상북도,경북,포항시
백경오토캠핑장 앞,경상북도 포항시 남구 장기면 영암길 70,35.909843,129.5253485,401,경상북도,경북,포항시
대원사 입구,경상북도 영덕군 영덕읍 노물1길 25,36.4477815,129.430662,35,경상북도,경북,영덕군
선창횟집 뒤,경상북도 영덕군 영덕읍 노물2길 12-1 ,36.4463479,129.4309302,20,경상북도,경북,영덕군
경노회관 뒤 골목,경상북도 영덕군 영덕읍 노물길 19-13 ,36.4464414,129.4342949,25,경상북도,경북,영덕군
해녀횟집 뒤 골목,경상북도 영덕군 영덕읍 노물길 19-21 ,36.4463934,129.4349654,25,경상북도,경북,영덕군
기성초등학교사동분교 운동장,경상북도 울진군 기성면 해월헌길 19,36.82960863,129.4378225,200,경상북도,경북,울진군
모텔 휠파크 ,경상북도 울진군 북면 울진북로 2346-12 ,37.1245806,129.3706012,360,경상북도,경북,울진군
김포리조트펜션주차장,경상북도 경주시 감포읍 동해안로 2674,35.8381855,129.518289,500,경상북도,경북,경주시
감포댐 입구,경상북도 경주시 감포읍 동해안로 2695-63 ,35.83658,129.512169,1000,경상북도,경북,경주시
척사버스정류장뒤야산,경상북도 경주시 감포읍 감포로 323-1 ,35.8162407,129.5109907,1000,경상북도,경북,경주시
감포중고등학교운동장,경상북도 경주시 감포읍 감포로12길 20,35.81088623,129.506743,1300,경상북도,경북,경주시
삼정2리 마을회관,경상북도 포항시 남구 구룡포읍 일출로 125,36.00541049,129.5743189,200,경상북도,경북,포항시
창포 교회 뒤편,경상북도 영덕군 영덕읍 영덕대게로 723-7 ,36.4038122,129.4227435,400,경상북도,경북,영덕군
구)마을회관 옆,경상북도 영덕군 영덕읍 영덕대게로 691-34 ,36.4014279,129.4210895,150,경상북도,경북,영덕군
나곡비치모텔,경상북도 울진군 북면 나실길 31,37.1269522,129.3708023,360,경상북도,경북,울진군
석호마을 아파트,경상북도 울진군 북면 울진북로 2234(석호마을아파트),37.1141243,129.3734229,330,경상북도,경북,울진군
