대피소명,주소,위도,경도,수용인원,시도,시군구
진주제일중학교 운동장,경상남도 진주시 평거로 60(평거동),35.17521113,128.0670219,4844,경남,진주시
서진초등학교 운동장,경상남도 진주시 새평거로 85(평거동),35.16893794,128.0570395,3135,경남,진주시
율하초등학교 운동장,경상남도 김해시 율하2로58번길 7(율하동),35.17152258,128.8082922,2545,경남,김해시
부산조리고등학교 운동장,부산광역시 사상구 낙동대로1390번길 65(삼락동),35.18384405,128.9803961,1484,부산,사상구
안락중학교 운동장,부산광역시 동래구 온천천로 513(안락동),35.1914034,129.1090964,3636,부산,동래구
부산중앙여자고등학교 운동장,부산광역시 동래구 온천천로 131(명륜동),35.20790476,129.0791865,6341,부산,동래구
용남초등학교,경상남도 통영시 용남면 달포큰길 125,34.86973507,128.4440045,3697,경남,통영시
농업기술센터 공터,경상북도 영덕군 영덕읍 경동로 8113,36.43443445,129.3581583,2882,경북,영덕군
덕정초등학교 운동장,경상남도 김해시 대청로 31(관동동),35.1777009,128.7986273,3489,경남,김해시
웅상체육공원,경상남도 양산시 배움터길 60-19 (평산동),35.37565787,129.1420716,3224,경남,양산시
순지어린이공원,경상남도 양산시 하북면 신평7길 17,35.494113,129.085325,1667,경남,양산시
부산맹학교 운동장,부산광역시 동래구 충렬사로67번길 56(명장동),35.20674638,129.0980618,2060,부산,동래구
성명공원,대구광역시 남구 성명공원길 49(대명동),35.84773373,128.571314,1409,대구,남구
대명2공원,대구광역시 남구 명덕시장길 29(대명동),35.84489915,128.5835777,23585,대구,남구
안지랑공원 ,대구광역시 남구 대명로30길 21(대명동),35.83821897,128.5741935,1600,대구,남구
목련공원,대구광역시 남구 봉덕로2길 31(봉덕동),35.84362799,128.5913777,1190,대구,남구
봉덕공원,대구광역시 남구 봉덕로5길 20(봉덕동),35.84603052,128.5933135,1202,대구,남구
남구 구민체육광장,대구광역시 남구 고산4길 71(봉덕동),35.83244837,128.6001045,15038,대구,남구
동신초등학교(운동장) ,대구광역시 동구 송라로 123(신암동),35.8777411,128.6153226,5854,대구,동구
효신초등학교(운동장) ,대구광역시 동구 동부로34길 70(신천동),35.87250798,128.632288,12840,대구,동구
지묘초등학교(운동장) ,대구광역시 동구 파계로6길 54-3 (지묘동),35.94282906,128.6382731,7667,대구,동구
불로초등학교(운동장) ,대구광역시 동구 방천로3길 19(불로동),35.89719351,128.6327031,14212,대구,동구
입석초등학교(운동장) ,대구광역시 동구 아양로 300(입석동),35.89055209,128.6435134,6763,대구,동구
회원초등학교 운동장,경상남도 창원시 마산회원구 회원남로 51(회원동),35.21944445,128.5667429,7773,경남,창원시
밀양중학교 운동장,경상남도 밀양시 삼문중앙로4길 19(삼문동),35.4833091,128.7555033,11187,경남,밀양시
마산용마고등학교운동장,경상남도 창원시 마산합포구 허당로 51(산호동),35.21181711,128.5821152,21253,경남,창원시
율금초등학교(운동장) ,대구광역시 동구 안심로16길 70(율하동),35.86178626,128.6920282,4162,대구,동구
안심중학교(운동장),대구광역시 동구 안심로 237(서호동),35.86698484,128.7102955,9224,대구,동구
율원중학교(운동장),대구광역시 동구 율하동로 20(율하동),35.86138809,128.7018535,9160,대구,동구
정동고등학교(운동장),대구광역시 동구 용계로1길 49(용계동),35.87722491,128.6940774,7795,대구,동구
조일로봇고등학교(운동장),대구광역시 동구 신덕로 136-11 (신평동),35.88174277,128.6947974,13659,대구,동구
