"SHNTDTR_SN","ARCD","SHNT_PLACE_SN","SHNT_PLACE_NM","PSBL_NMPR","EV_ANTCTY","USE_AT","RN_DTL_ADRES","RDNMADR_CD","LO","LA","SHNT_PLACE_DTL_POSITION","SHNT_PLACE_TY_CD","ERTHQK_SHUNT_AT"
"대피지구일련번호","지역코드","대피장소일련번호","대피장소명","수용인원","해발고도","사용여부","도로명상세주소","도로명주소코드","경도","위도","대피장소상세위치","대피소종류","내진설계적용여부"
"9","2671000000","2","임랑야산(대덕사) 입구","1400","11","Y","","","129.2609659","35.3187583","부산광역시 기장군 장안읍 임랑리 97-10","002","N"
"9","2671000000","3","묘관음사 앞 도로","363","10","Y","","","129.2661077","35.3216755","부산광역시 기장군 장안읍 임랑리 산 2-17","003","N"
"11","2671000000","1","문동마을 뒷산(문동어업인복지회관 옆)","2000","42","Y","","","129.2568567","35.3080381","부산광역시 기장군 일광면 문동리 296","002","N"
"2","2614000000","1","송도탑스빌 광장","800","30","Y","부산광역시 서구 충무대로 56(암남동, 송도탑스빌)","2614012400102570001018242","129.0184861","35.0778887","부산광역시 서구 암남동 257-4","002","Y"
"4","4711300000","1","오션뷰 펜션 앞","80","15","Y","","","129.369987","36.1945165","경상북도 포항시 북구 청하면 용두리 49-2","002","N"
"13","5123000000","1","갈남전망대","100","32","Y","","","129.3233557","37.2807032","강원특별자치도 삼척시 원덕읍 갈남리 102-6","003","N"
"13","5123000000","2","갈남마을회관뒤공터","100","30","Y","강원특별자치도 삼척시 원덕읍 갈남길 108","4223025321100130002000001","129.3260851","37.2780773","강원특별자치도 삼척시 원덕읍 갈남리 13-2","002","N"
"5","4777000000","1","대게축구장입구","500","44","Y","","","129.3897583","36.3623525","경상북도 영덕군 강구면 강구리 산 67","002","N"
"5","4777000000","2","수협창고 뒤 ","400","29","Y","","","129.3858631","36.3599669","경상북도 영덕군 강구면 강구리 산 50-1","002","N"
"5","4777000000","3","미혜식당뒤","400","28","Y","","","129.3926551","36.3619133","경상북도 영덕군 강구면 강구리 산 75-12","002","N"
"28","4777000000","1","대진1리 마을 뒤 야산","160","30","Y","","","129.4281435","36.5619124","경상북도 영덕군 영해면 대진리 산 10-7","002","N"
"3","4793000000","1","만영수산 뒤 밭","100","13","Y","","","129.4172877","36.9217122","경상북도 울진군 근남면 진복리 174","002","N"
"3","4793000000","2","진복2리 복지회관 뒤","150","9","Y","","","129.413","36.9448","경상북도 울진군 근남면 산포리 265","002","N"
"8","4793000000","1","망양정옛터","30","15","Y","경상북도 울진군 기성면 망양로 157","4793035024104180000019033","129.4274667","36.8498053","경상북도 울진군 기성면 망양리 418","002","N"
"8","4793000000","2","삼성모텔  뒤 야산","30","15","Y","경상북도 울진군 기성면 망양로 111","4793035024104000002018077","129.4295508","36.8463711","경상북도 울진군 기성면 망양리 400-2","004","N"
"19","4793000000","1","해뜨는바다펜션 옆 고지대","30","15","Y","","","129.4750142","36.7342627","경상북도 울진군 평해읍 직산리 13-3","002","N"
"19","4793000000","2","해뜨는 바다펜션 뒷산","50","15","Y","","","129.4749981","36.7333319","경상북도 울진군 평해읍 직산리 13-36","002","N"
"19","4793000000","3","직산1리마을회관 뒤 고지대","50","15","Y","경상북도 울진군 평해읍 제장로 129-23 ","4793025326100610001000001","129.4746333","36.7322808","경상북도 울진군 평해읍 직산리 61-1","002","N"
"23","4793000000","1","어업무선국송신소","300","24","Y","경상북도 울진군 후포면 동해대로 307-18 ","4793038023100670000034262","129.4347811","36.6691117","경상북도 울진군 후포면 금음리 67","002","N"
