"SN","FLDN_DOWA","FLDN_GRD","FLDN_AREA","FLDN_YR","FLDN_DST_NM","FLDN_CS_DTL_NM","FLDN_BGNG_YMD","FLDN_END_YMD","FLDN_BGNG_TM","FLDN_END_TM","STDG_CTPV_CD","STDG_SGG_CD","GEOM"
"일련번호","침수수심","침수등급","침수면적","침수연도","침수재해명","침수원인상세명","침수시작일자","침수종료일자","침수시작시각","침수종료시각","법정동시도코드","법정동시군구코드","지오메트리"
"85","1.38","3","275165","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391230.865262 4300187.8005805099,14391222.461596999 4300166.4293358596,14391220.5325797 4300152.25273869,14391218.4645328 4300145.6889352696,14391214.1517138 4300140.2675793003,14391205.5694975 4300135.6407748796,14391202.8071841 4300131.9915989498,14391200.826246999 4300129.5283771697,14391183.5277566 4300095.1378341299,14391169.263679 4300066.5500931004,14391168.2276986 4300067.07153608,14391160.8678055 4300051.5784921898,14391159.026737601 4300047.6158881402,14391155.9104633 4300040.9027818898,14391148.7859837 4300026.1445629504,14391158.3698321 4300002.8771933001,14391158.7516382 4300001.2989546601,14391194.960844999 4300040.6105928998,14391216.510429099 4300064.3405188099,14391194.189767599 4300085.2069233702,14391261.770563301 4300159.1001603603,14391230.865262 4300187.8005805099))"
"73","2.12","5","275165","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391281.495209901 4299583.28765886,14391327.423025699 4299541.1900267499,14391394.636362599 4299614.7630786002,14391348.740762001 4299656.8961608699,14391281.495209901 4299583.28765886))"
"292","0.75","2","140736","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390677.511445001 4298482.4651305899,14390691.4881685 4298461.9565274799,14390699.469368899 4298450.1502708504,14390707.677402399 4298438.1074715797,14390739.3638709 4298455.3127548499,14390816.5976499 4298497.2968757199,14390779.6222309 4298552.4211513596,14390677.511445001 4298482.4651305899))"
"223","2.13","5","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390220.675989 4297324.2311271802,14390248.8584543 4297256.9592938898,14390268.1165323 4297212.8424079102,14390294.2641846 4297320.5453033103,14390265.617595401 4297321.6090508504,14390220.675989 4297324.2311271802))"
"84","1.38","3","275165","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391514.9801799 4300179.3236074103,14391523.4737991 4300170.5904611703,14391567.345634 4300125.6083902596,14391632.8910107 4300058.8257176103,14391676.264403701 4300014.3449927196,14391678.5569357 4300016.9140043799,14391677.899646601 4300026.62604314,14391682.1004187 4300047.6507925503,14391682.5905615 4300050.0996214999,14391684.5355967 4300070.08044584,14391672.2965002 4300056.6921945903,14391618.7005745 4300106.1197581897,14391651.711960999 4300142.75486161,14391642.813992299 4300154.6660695504,14391637.410660001 4300156.4871659996,14391615.3971505 4300160.4244997799,14391578.7444147 4300169.6377669303,14391553.274649899 4300176.3647220396,14391539.792497201 4300179.2519632699,14391532.9604972 4300180.9991467996,14391519.862441501 4300184.73093272,14391514.9801799 4300179.3236074103))"
"209","1.24","3","541340","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391324.6186934 4297760.8206686899,14391293.558257001 4297691.4440774303,14391263.2928204 4297623.7329134401,14391330.570362501 4297586.8357011499,14391345.602223599 4297593.5729802297,14391357.692755699 4297595.5874914397,14391380.2813469 4297598.1917145504,14391389.7803303 4297602.1553322496,14391437.8070179 4297708.9398512496,14391324.6186934 4297760.8206686899))"
"79","0.61","2","275165","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391178.923444601 4299963.8279324397,14391177.2637197 4299958.9098468097,14391176.1919544 4299953.95295709,14391175.4616406 4299936.2366232397,14391176.868709199 4299931.3793101804,14391171.215792799 4299918.2554378798,14391176.287424499 4299915.6468926203,14391172.5772686 4299898.9573840396,14391171.140987201 4299891.3156005898,14391179.727520199 4299889.69269617,14391195.264740899 4299883.292103,14391209.149086401 4299873.4729820099,14391220.947065201 4299871.1139773102,14391222.9367783 4299876.0131929796,14391221.769859901 4299876.5515434099,14391221.308837 4299882.9103808096,14391218.934698701 4299884.1818051804,14391240.3571233 4299907.7445018198,14391217.798378499 4299927.6393839903,14391194.837083699 4299948.99441831,14391178.923444601 4299963.8279324397))"
"45","0.85","2","111757","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392402.2036644 4301184.5953841703,14392396.0279369 4301176.6806884501,14392403.5307518 4301155.1457400201,14392357.9489554 4301145.5780690797,14392351.959871501 4301131.02675403,14392328.1957034 4301128.4445336796,14392322.563388901 4301113.30810213,14392340.9771953 4301108.6227092901,14392369.8083909 4301105.6976573402,14392385.8030078 4301105.4690677198,14392392.049205299 4301105.0065515004,14392414.944465 4301101.8646125896,14392416.618608501 4301114.0089638596,14392415.3015651 4301119.1608932996,14392417.561664401 4301123.1894888096,14392443.5446722 4301128.3061235901,14392438.9869173 4301145.7397486502,14392436.038363099 4301157.49990601,14392432.719628699 4301172.2364252601,14392430.8724843 4301182.2833201801,14392405.1680941 4301175.7818599204,14392402.2036644 4301184.5953841703))"
"261","1.64","2","111757","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392169.224438701 4301110.2730586398,14392179.3093995 4301077.7941415701,14392253.917745 4301057.9993559299,14392262.5600038 4301024.0300533604,14392216.6692174 4301037.6936599901,14392225.786929101 4300998.0719577996,14392234.2433473 4300995.9403697904,14392241.902856801 4300963.73082483,14392284.5706988 4300954.5871963296,14392321.241332101 4300943.1826419104,14392368.284840001 4300931.9802991701,14392369.032346001 4300935.1477142097,14392366.1160248 4300952.3010367798,14392362.0441097 4300963.7306393199,14392360.702075601 4300967.5022290703,14392353.9249686 4300979.2861267403,14392350.559453901 4300980.6006444702,14392340.9252086 4300994.90631082,14392337.1191744 4301001.8301291196,14392329.268006399 4301016.1107537895,14392326.608426901 4301012.3177830698,14392306.584886299 4301043.6688278103,14392303.036676601 4301055.0735933501,14392300.480263701 4301075.9127553804,14392169.224438701 4301110.2730586398))"
"304","0.85","2","111757","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392139.575290401 4301267.6725199204,14392135.9461083 4301264.9960780796,14392122.0988733 4301264.0370772099,14392145.520155501 4301187.9562197197,14392160.824957799 4301184.3758056797,14392148.5807338 4301232.3678001398,14392142.452862499 4301256.3887248198,14392139.575290401 4301267.6725199204))"
