"SN","PRSNTN_DT","PRSNTN_HR","LAT","LOT","PSTN","ROPR_","ROPR_GRD","STDG_CTPV_CD","STDG_SGG_CD","XMAP_CRTS","YMAP_CRTS","GEOM"
"일련번호","발표일시","발표시간","위도","경도","위치","진도","진도등급","법정동시도코드","법정동시군구코드","X지도좌표","Y지도좌표","지오메트리"
"237","20140703","2204","35.66","129.82","울산 동구 동북동쪽 40 Km 해역","2.6","3","","","1.4451496294783E7","4253938.185249","POINT(14451496.294783 4253938.1852489999)"
"235","20140621","0829","38.77","125.89","황해북도 송림 동쪽 22 Km 지역","2.6","3","","","1.4014010695965E7","4688779.38988","POINT(14014010.695964999 4688779.3898799997)"
"234","20140618","0959","35.91","128.66","대구 동구 북동쪽 3 Km 지역","2.1","3","27","27140","1.4322365685463E7","4288244.566924","POINT(14322365.685463 4288244.5669240002)"
"233","20140608","0405","33.52","125.96","제주 제주시 고산 북서쪽 31 Km 해역","2.6","3","","","1.4021803060321E7","3964530.423649","POINT(14021803.060320999 3964530.423649)"
"232","20140605","1329","35.97","128.62","대구 동구 북쪽 9 Km 지역","2.3","3","27","27140","1.4317912905831E7","4296494.203093","POINT(14317912.905831 4296494.2030929998)"
"231","20140515","0846","33","126.21","제주 제주시 고산 남쪽 33 Km 해역","3.4","4","","","1.4049632933019E7","3895303.963394","POINT(14049632.933018999 3895303.9633940002)"
"230","20140426","1408","36.46","127.93","경북 상주시 서북서쪽 21 Km 지역","2.7","3","47","47250","1.4241102457183E7","4364102.671171","POINT(14241102.457183 4364102.6711710002)"
"229","20140425","1214","35.97","128.04","경북 김천시 남남서쪽 20 Km 지역","2.9","3","47","47150","1.4253347601171E7","4296494.203093","POINT(14253347.601171 4296494.2030929998)"
"228","20140413","1402","36.93","124.52","충남 태안군 서격렬비도 서북서쪽 97 Km 해역","2.9","3","","","1.3861502993578E7","4429354.176187","POINT(13861502.993578 4429354.1761870002)"
"227","20140412","0144","33.52","126.9","제주 제주시 동쪽 34 Km 지역","2.6","3","50","50110","1.4126443381666E7","3964530.423649","POINT(14126443.381665999 3964530.423649)"
"226","20140408","0619","36.96","124.44","충남 태안군 서격렬비도 서북서쪽 105 Km 해역","2.7","3","","","1.3852597434315E7","4433532.768704","POINT(13852597.434315 4433532.7687039999)"
"224","20140401","0448","36.95","124.5","충남 태안군 서격렬비도 서북서쪽 100 Km 해역","5.1","6","","","1.3859276603763E7","4432139.721693","POINT(13859276.603762999 4432139.7216929998)"
"225","20140401","0925","36.95","124.5","충남 태안군 서격렬비도 서북서쪽 100 Km 해역","2.3","3","","","1.3859276603763E7","4432139.721693","POINT(13859276.603762999 4432139.7216929998)"
"823","20190720","0038","36.33","128.08","경북 상주시 남서쪽 11km 지역","2","3","47","47250","1.425780038080248E7","4346124.387119868","POINT(14257800.380802481 4346124.3871198706)"
"859","20190710","0155","38.7","125.73","북한 황해북도 송림 동남동쪽 9km 지역","2.1","3","","","1.3996199577438287E7","4678789.796625015","POINT(13996199.57743828 4678789.79662502)"
"858","20190708","1404","37.91","129.57","강원 동해시 북동쪽 59km 해역","2.3","3","42","42170","1.4423666422084456E7","4566719.621293911","POINT(14423666.422084451 4566719.6212939098)"
"889","20190702","2051","35.88","129.69","경북 포항시 남구 동남동쪽 33km 해역","2.7","3","47","","1.4437024760979649E7","4284122.095067954","POINT(14437024.760979639 4284122.09506795)"
