"REARE_NM","RONA_DADDR","LAT","LOT","SHLT_SE_CD","SHLT_SE_NM","MNG_SN"
"태전2동행정복지센터","대구광역시 북구 칠곡중앙대로52길 32 (태전2동 행정복지센터)","35.921461","128.548755","1","한파쉼터","T2025110709130800799071"
"(40605)법원버스정류장","울산광역시 남구 옥동 297","35.535199","129.288592","1","한파쉼터","T2025110400041700793672"
"(40420)시외버스터미널버스정류장","울산광역시 남구 삼산동 561-12","35.539388","129.337957","1","한파쉼터","T2025110400041700793671"
"(하신리)술곡경로당","경상남도 합천군 쌍백면 하신술곡길 213 , 술곡경로당","35.468219","128.1235032","1","한파쉼터","T2024111210555300061873"
"GS25편의점강릉아이파크점","강원특별자치도 강릉시 경강로 2511 (강릉아이파크)","37.775304","128.933632","1","한파쉼터","T2026011000041300915926"
"GS25삼척동부점","강원특별자치도 삼척시 동해대로 4273 (동부아파트)","37.455983","129.165593","1","한파쉼터","T2025110709130800794150"
"GS25편의점강릉모노그램1호점","강원특별자치도 강릉시 해안로 210","37.785903","128.926066","1","한파쉼터","T2026011000041300915923"
"100세건강플러스","서울특별시 강북구 오현로 208 (번동주공아파트)","37.629218","127.04293","1","한파쉼터","T2025110709130800794215"
"GS25편의점강릉동도점","강원특별자치도 강릉시 강릉대로313번길 36","37.766749","128.903436","1","한파쉼터","T2026011000041300915922"
"태화(본점)새마을금고","울산광역시 중구 유곡로 33","35.5564034","129.3058041","1","한파쉼터","T2025110709130800799087"
"GS25편의점강릉강동점","강원특별자치도 강릉시 입암동 503-7","37.755701","128.910971","1","한파쉼터","T2026011000041300915919"
"3통경로당","경상북도 영천시 완산동 966-16","35.9649405","128.9400101","1","한파쉼터","T2025022600051600425972"
"GS25삼척호산점","강원특별자치도 삼척시 원덕읍 삼척로 428 (호산타워)","37.175678","129.33659","1","한파쉼터","T2025110709130800794155"
"1호광장버스승강장","충청남도 서산시 동문동 716-8","36.78367","126.4522446","1","한파쉼터","T2025022600051600425971"
"GS25삼척임원항점","강원특별자치도 삼척시 원덕읍 임원항구로 15","37.230195","129.344149","1","한파쉼터","T2025110709130800794154"
"GS25삼척이편한점","강원특별자치도 삼척시 하실길 42 (한성산업)","37.451721","129.170324","1","한파쉼터","T2025110709130800794153"
"GS25삼척원덕점","강원특별자치도 삼척시 원덕읍 삼척로 455-28","37.176006","129.334133","1","한파쉼터","T2025110709130800794152"
"GS25삼척리첼점","강원특별자치도 삼척시 마달길 215-1","37.450341","129.155949","1","한파쉼터","T2025110709130800794151"
"EMART24삼척항점","강원특별자치도 삼척시 새천년도로 100","37.439363","129.192684","1","한파쉼터","T2025110709130800794146"
"GS25편의점강릉부영점","강원특별자치도 강릉시 하슬라로 124-5 (부영아파트 상가 상가동)","37.761103","128.874034","1","한파쉼터","T2026011000041300915924"
"GS25삼척근덕점","강원특별자치도 삼척시 근덕면 삼척로 3684","37.383255","129.225416","1","한파쉼터","T2025110709130800794149"
"(황산리)가야경로당","경상남도 합천군 가야면 가야시장로 55-1 ","35.7597359","128.1385633","1","한파쉼터","T2025050200050300430297"
"GS25맹방해변점","강원특별자치도 삼척시 근덕면 삼척로 3840 (맹방주유소)","37.39541","129.216437","1","한파쉼터","T2025110709130800794148"
"GS25도계휴게소점","강원특별자치도 삼척시 도계읍 강원남부로 1695","37.252623","129.054336","1","한파쉼터","T2025110709130800794147"
"GS25편의점강릉신도점","강원특별자치도 강릉시 경강로2539번길 22 (송정해변신도브래뉴아파트)","37.775606","128.938484","1","한파쉼터","T2026011000041300915925"
