LO,SHNT_PLACE_SN,RN_DTL_ADRES,SHNT_PLACE_NM,EV_ANTCTY,ARCD,SHNT_PLACE_DTL_POSITION,USE_AT,LA,SHNTDTR_SN,SHNT_PLACE_TY_CD,ERTHQK_SHUNT_AT,PSBL_NMPR,RDNMADR_CD
128.8753152,1,강원특별자치도 강릉시 사천면 공회당길 13-10 ,장구바위 야산,10,5115000000,강원특별자치도 강릉시 사천면 사천진리 34-6,Y,37.8406398,4,2,N,300,4.21504E+24
128.8686204,2,,강릉성결교회부설 진리수양관 공터,10,5115000000,강원특별자치도 강릉시 사천면 사천진리 209-2,Y,37.8415824,4,2,N,280,
129.4069099,1,,문화교맞은편뒤,15,4777000000,경상북도 영덕군 강구면 하저리 401,Y,36.390607,8,2,N,100,
128.9883059,1,강원특별자치도 강릉시 강동면 갯목길 38-1 ,봉화산,40,5115000000,강원특별자치도 강릉시 강동면 안인진리 20-1,Y,37.7370807,12,2,N,150,4.21503E+24
128.9860711,2,강원특별자치도 강릉시 강동면 율곡로 1867-20 ,안인천주교회 공터,14,5115000000,강원특별자치도 강릉시 강동면 안인진리 213,Y,37.7309512,12,2,Y,100,4.21503E+24
128.9826438,3,강원특별자치도 강릉시 강동면 율곡로 1925-25 ,강인교회 주차장,25,5115000000,강원특별자치도 강릉시 강동면 안인진리 270-18,Y,37.7278467,12,2,N,150,4.21503E+24
128.9726901,4,강원특별자치도 강릉시 강동면 원장봉길 30-8 ,하시동2리 마을회관,20,5115000000,강원특별자치도 강릉시 강동면 하시동리 56-1,Y,37.7372546,12,1,Y,100,4.21503E+24
129.5524254,1,,하정축양장 앞 공터,12,4711100000,경상북도 포항시 남구 구룡포읍 하정리 117-5,Y,35.9711339,19,2,N,350,
129.5467794,2,,하정리 269번지 (하정,12,4711100000,경상북도 포항시 남구 구룡포읍 하정리 269,Y,35.9654463,19,3,N,401,
129.5454222,3,,장길리교회 앞,16,4711100000,경상북도 포항시 남구 구룡포읍 장길리 109-3,Y,35.954819,19,2,N,89,
129.5335507,1,,구평리 117-2번지 앞 주변도로,26,4711100000,경상북도 포항시 남구 구룡포읍 구평리 111-2,Y,35.9440904,20,2,N,89,
128.8268066,1,강원특별자치도 강릉시 주문진읍 약수동길 15-12 ,주영초등학교 운동장,21,5115000000,강원특별자치도 강릉시 주문진읍 주문리 461,Y,37.8978351,14,5,N,1500,4.21503E+24
128.8265874,2,강원특별자치도 강릉시 주문진읍 항구로 43,주문진감리교회 주차,15,5115000000,강원특별자치도 강릉시 주문진읍 주문리 351,Y,37.8938117,14,2,N,1600,4.21503E+24
128.8214971,3,,주문진성당 주차장,18,5115000000,강원특별자치도 강릉시 주문진읍 교항리 산 57,Y,37.8851281,14,2,N,2000,
129.4429078,1,,태흥모텔 앞 공터,30,4777000000,경상북도 영덕군 축산면 경정리 24,Y,36.493712,35,2,N,250,
129.4640252,1,,동해월송정 옆 도로,25,4793000000,경상북도 울진군 기성면 구산리 420-1,Y,36.7557382,15,2,N,50,
129.4633868,2,,비치모텔 뒤 야산,15,4793000000,경상북도 울진군 기성면 구산리 395,Y,36.7525985,15,2,N,50,
129.4704866,1,,직산2리 마을회관 뒷산,20,4793000000,경상북도 울진군 평해읍 직산리 323,Y,36.7239097,20,2,N,30,
129.4692233,2,,직산보건소 뒷산,20,4793000000,경상북도 울진군 평해읍 직산리 318,Y,36.7217447,20,2,N,50,
129.4691026,3,,직산2리 282번지 밭 일대,20,4793000000,경상북도 울진군 평해읍 직산리 282,Y,36.7190422,20,2,N,30,
128.5851081,1,"강원특별자치도 속초시 수복로143번길 60(청학동, 청학연립)",청학연립,30,5121000000,강원특별자치도 속초시 청학동 486-184,Y,38.2031701,7,2,N,710,4.22101E+24
129.4122881,1,,고래꿈호텔 (舊 모텔 아리아),22,4793000000,경상북도 울진군 울진읍 온양리 300-3,Y,37.0160077,42,2,N,300,
129.4121405,2,,동회관 뒷 편 통로박스,15,4793000000,경상북도 울진군 울진읍 온양리 357-3,Y,37.0145814,42,3,N,50,
129.4170356,2,경상북도 울진군 근남면 금호길 55,산포3리 마을회관,7,4793000000,경상북도 울진군 근남면 산포리 77,Y,36.9464321,52,3,N,100,4.79303E+24
129.4174,3,,산포리 92번지 일대 밭,8,4793000000,경상북도 울진군 근남면 산포리 107,Y,36.94406,52,3,N,100,
129.2432955,1,,학리마을 뒷산,23,2671000000,부산광역시 기장군 일광면 학리 160-4,Y,35.2569652,7,2,N,1200,
129.2435932,2,,이동마을 뒷산,14,2671000000,부산광역시 기장군 일광면 이천리 226,Y,35.2735128,7,2,N,1600,
129.3979087,1,,사랑의유람선 앞,18,4711300000,경상북도 포항시 북구 흥해읍 오도리 74-7,Y,36.1636347,7,2,N,40,
129.3963155,2,,작은펜션 앞 공터,34,4711300000,경상북도 포항시 북구 흥해읍 오도리 246-3,Y,36.157803,7,2,N,40,
129.398413,3,,오도해수욕장 입구,20,4711300000,경상북도 포항시 북구 흥해읍 오도리 359-3,Y,36.1541084,7,2,N,48,
128.612282,1,,정암리 야산,18,5183000000,강원특별자치도 양양군 강현면 정암리 62-2,Y,38.140562,3,2,N,200,
128.9399672,1,"강원특별자치도 강릉시 경강로2539번길 22(견소동, 송정해변신도브래뉴아파트)",송정해변 신도브래뉴,6,5115000000,강원특별자치도 강릉시 견소동 289,Y,37.77476,6,4,Y,3500,4.21501E+24
128.9515892,2,,죽도봉,33,5115000000,강원특별자치도 강릉시 견소동 11-1,Y,37.769731,6,2,Y,800,
129.3707311,1,경상북도 영덕군 남정면 진불길 11-27 ,남정중학교,30,4777000000,경상북도 영덕군 남정면 장사리 410-1,Y,36.2833823,10,5,N,500,4.77703E+24
129.3678419,2,,부흥2리 뒷산,30,4777000000,경상북도 영덕군 남정면 장사리 504-1,Y,36.2877011,10,2,N,250,
129.3737694,1,,동해안 횟집공터,7,4777000000,경상북도 영덕군 남정면 남호리 119-2,Y,36.3333943,14,2,N,100,
129.3774708,2,경상북도 영덕군 남정면 동해대로 4165-11 ,웰빙문화테마 마을입,28,4777000000,경상북도 영덕군 남정면 남호리 36,Y,36.3295289,14,2,N,70,4.77703E+24
129.4221028,1,,구국도변 공터(1),28,4777000000,경상북도 영덕군 병곡면 금곡리 13-1,Y,36.6434624,22,2,N,70,
129.4206424,2,,구국도변 공터(2),35,4777000000,경상북도 영덕군 병곡면 금곡리 49-4,Y,36.6420348,22,2,N,80,
129.5232537,1,경상북도 포항시 남구 장기면 모포길 59,장기초등학교 모포분교 운동장,15,4711100000,경상북도 포항시 남구 장기면 모포리 95,Y,35.93446799,21,2,N,50,4.71113E+24
129.5173636,2,,대진주유소 앞,14,4711100000,경상북도 포항시 남구 장기면 대진리 87-3,Y,35.923022,21,2,N,58,
129.5255122,1,,신창리 산12-3 공터,35,4711100000,경상북도 포항시 남구 장기면 신창리 산 12-3,Y,35.9010202,23,2,N,89,
129.5266789,2,,황제노래연습장 앞,16,4711100000,경상북도 포항시 남구 장기면 신창리 479-4,Y,35.8852777,23,2,Y,50,
129.5237687,3,,부산돼지국밥 옆,10,4711100000,경상북도 포항시 남구 장기면 신창리 산 53,Y,35.8920227,23,2,N,58,
129.5302516,1,,등대회식당  버스승강,32,4711100000,경상북도 포항시 남구 장기면 계원리 26-3,Y,35.8677909,25,2,N,179,
129.5253217,2,,세계원 횟집 앞,14,4711100000,경상북도 포항시 남구 장기면 계원리 324,Y,35.8613655,25,2,N,97,
